team,score0,score1,score2,score3,score4,score5,score6,score7,score8,avg,,auto_bottom0,auto_bottom1,auto_bottom2,auto_bottom3,auto_bottom4,auto_bottom5,auto_bottom6,auto_bottom7,auto_bottom8,avg,,auto_inner0,auto_inner1,auto_inner2,auto_inner3,auto_inner4,auto_inner5,auto_inner6,auto_inner7,auto_inner8,avg,,auto_outer0,auto_outer1,auto_outer2,auto_outer3,auto_outer4,auto_outer5,auto_outer6,auto_outer7,auto_outer8,avg,,control0,control1,control2,control3,control4,control5,control6,control7,control8,avg,,end_game0,end_game1,end_game2,end_game3,end_game4,end_game5,end_game6,end_game7,end_game8,avg,,tele_bottom0,tele_bottom1,tele_bottom2,tele_bottom3,tele_bottom4,tele_bottom5,tele_bottom6,tele_bottom7,tele_bottom8,avg,,tele_inner0,tele_inner1,tele_inner2,tele_inner3,tele_inner4,tele_inner5,tele_inner6,tele_inner7,tele_inner8,avg,,tele_outer0,tele_outer1,tele_outer2,tele_outer3,tele_outer4,tele_outer5,tele_outer6,tele_outer7,tele_outer8,avg,,auto_movement0,auto_movement1,auto_movement2,auto_movement3,auto_movement4,auto_movement5,auto_movement6,auto_movement7,auto_movement8,avg,,
frc1014,97,84,91,57,110,37,54,57,94,75.66666666666667,,0,0,0,0,0,0,0,0,3,0.3333333333333333,,1,0,0,2,0,0,0,0,0,0.3333333333333333,,6,6,3,2,1,2,1,2,1,2.6666666666666665,,0,0,0,0,0,0,0,0,0,0.0,,5,0,0,5,25,0,25,5,5,7.777777777777778,,0,0,10,0,0,0,0,0,4,1.5555555555555556,,0,0,0,0,0,0,1,0,0,0.1111111111111111,,11,10,2,7,8,2,1,3,5,5.444444444444445,,0,0,1,1,1,1,1,1,1,0.7777777777777778,,
frc1038,62,55,128,86,30,64,74,77,81,73.0,,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,1,0.1111111111111111,,0,0,3,3,0,2,0,4,8,2.2222222222222223,,0,0,0,0,0,0,0,0,0,0.0,,25,0,5,5,0,5,5,0,5,5.555555555555555,,7,0,0,0,0,0,1,0,4,1.3333333333333333,,0,7,8,1,1,0,4,4,0,2.7777777777777777,,5,7,12,20,6,13,13,12,7,10.555555555555555,,1,1,1,1,1,1,1,1,1,1.0,,
frc117,121,142,111,118,127,175,136,77,89,121.77777777777777,,0,0,0,1,3,1,0,0,0,0.5555555555555556,,2,0,0,1,2,0,0,0,1,0.6666666666666666,,4,3,0,2,4,5,6,4,2,3.3333333333333335,,0,0,0,0,0,0,0,0,0,0.0,,5,0,25,25,25,25,0,5,25,15.0,,0,0,0,5,2,6,0,0,3,1.7777777777777777,,2,0,0,0,2,1,3,4,0,1.3333333333333333,,6,5,3,2,7,6,16,12,1,6.444444444444445,,1,0,0,1,1,1,1,1,1,0.7777777777777778,,
frc128,134,104,156,118,133,52,191,107,69,118.22222222222223,,3,3,2,1,0,0,0,0,0,1.0,,2,0,0,1,1,0,0,0,0,0.4444444444444444,,1,2,4,2,1,2,3,2,0,1.8888888888888888,,0,0,0,0,0,0,0,0,0,0.0,,25,0,25,25,25,5,25,25,0,17.22222222222222,,8,12,4,5,21,13,10,8,0,9.0,,0,0,1,0,5,2,1,0,1,1.1111111111111112,,2,0,12,2,6,5,8,13,3,5.666666666666667,,1,1,1,1,1,0,1,1,1,0.8888888888888888,,
frc1317,68,76,173,63,75,175,66,87,222,111.66666666666667,,0,0,2,1,2,1,1,0,3,1.1111111111111112,,0,0,0,0,0,0,0,0,0,0.0,,0,3,3,2,3,5,2,1,3,2.4444444444444446,,0,0,0,0,0,0,0,0,0,0.0,,5,5,0,5,5,5,5,0,0,3.3333333333333335,,14,14,12,10,4,6,2,5,1,7.555555555555555,,1,0,1,1,0,1,2,1,3,1.1111111111111112,,9,5,13,6,1,6,9,10,10,7.666666666666667,,1,1,1,1,1,1,1,0,1,0.8888888888888888,,
frc144,101,48,120,104,133,57,132,37,87,91.0,,0,0,0,0,0,0,0,0,0,0.0,,0,0,2,2,1,2,1,0,3,1.2222222222222223,,3,3,6,3,1,1,5,0,0,2.4444444444444446,,0,0,0,0,0,0,0,0,0,0.0,,0,5,0,0,0,0,5,0,5,1.6666666666666667,,2,0,0,0,21,2,2,7,0,3.7777777777777777,,4,1,4,3,5,1,2,0,5,2.7777777777777777,,6,4,6,14,6,8,15,1,12,8.0,,1,1,1,1,1,1,1,1,1,1.0,,
frc1507,110,126,112,80,127,116,151,148,144,123.77777777777777,,0,0,0,0,3,0,0,0,0,0.3333333333333333,,0,1,0,1,2,2,3,3,1,1.4444444444444444,,1,6,5,3,4,8,6,4,6,4.777777777777778,,0,0,0,0,0,0,0,0,0,0.0,,5,5,25,5,5,25,25,5,25,13.88888888888889,,0,0,0,0,2,0,2,0,0,0.4444444444444444,,3,2,0,3,2,2,1,8,1,2.4444444444444446,,21,15,12,5,7,9,12,15,13,12.11111111111111,,1,1,1,1,1,1,1,1,1,1.0,,
frc1511,121,84,76,104,132,133,66,165,78,106.55555555555556,,0,0,0,0,0,3,1,0,0,0.4444444444444444,,0,0,0,2,0,0,0,0,2,0.4444444444444444,,3,6,7,3,5,3,2,2,0,3.4444444444444446,,0,0,0,0,0,0,0,0,0,0.0,,25,0,0,25,25,25,5,25,25,17.22222222222222,,0,0,0,0,0,11,2,1,0,1.5555555555555556,,2,0,1,3,1,0,2,5,0,1.5555555555555556,,15,10,2,14,17,7,9,18,9,11.222222222222221,,1,0,1,0,1,0,1,1,1,0.6666666666666666,,
frc1559,69,129,173,97,132,176,100,106,139,124.55555555555556,,0,0,2,0,0,1,0,0,0,0.3333333333333333,,0,1,0,0,0,0,2,2,0,0.5555555555555556,,1,4,3,5,5,5,3,4,5,3.888888888888889,,0,0,0,0,0,0,0,0,0,0.0,,5,25,25,5,5,25,5,25,25,16.11111111111111,,1,0,12,0,0,0,0,3,3,2.111111111111111,,1,2,1,2,1,2,4,2,2,1.8888888888888888,,18,18,13,10,17,20,12,12,15,15.0,,1,1,1,1,1,1,1,1,1,1.0,,
frc1736,143,79,120,86,161,138,154,150,222,139.22222222222223,,2,0,0,0,3,0,0,0,3,0.8888888888888888,,0,0,2,0,0,0,1,0,0,0.3333333333333333,,4,2,6,4,6,5,8,8,3,5.111111111111111,,0,0,0,0,0,0,0,0,0,0.0,,25,0,25,25,25,25,25,25,5,20.0,,5,1,0,0,0,0,5,0,1,1.3333333333333333,,6,2,4,3,4,4,6,5,3,4.111111111111111,,10,12,6,8,17,11,11,10,10,10.555555555555555,,1,1,1,1,1,1,1,1,1,1.0,,
frc1787,79,121,91,97,139,196,136,155,168,131.33333333333334,,3,0,0,2,0,0,0,0,0,0.5555555555555556,,0,0,0,0,0,0,0,1,1,0.2222222222222222,,2,0,0,3,4,3,6,7,5,3.3333333333333335,,0,0,0,0,0,0,0,0,0,0.0,,5,5,25,25,25,25,25,0,25,17.77777777777778,,3,0,0,0,0,0,0,0,1,0.4444444444444444,,0,2,4,1,1,4,3,7,0,2.4444444444444446,,11,35,12,10,20,26,16,20,23,19.22222222222222,,1,1,1,1,1,1,1,1,1,1.0,,
frc2081,121,42,111,27,90,176,191,37,131,102.88888888888889,,0,0,0,0,0,1,0,0,0,0.1111111111111111,,0,0,0,0,0,0,0,0,0,0.0,,3,0,0,0,4,5,3,0,4,2.111111111111111,,0,0,0,0,0,0,0,0,0,0.0,,25,5,25,5,5,25,25,0,5,13.333333333333334,,0,0,0,0,0,0,10,7,1,2.0,,2,0,0,0,0,2,1,0,1,0.6666666666666666,,15,2,3,1,2,20,8,1,8,6.666666666666667,,1,1,1,1,1,1,1,1,1,1.0,,
frc2252,134,112,125,104,139,176,156,44,144,126.0,,0,0,0,0,0,1,0,0,0,0.1111111111111111,,1,2,0,0,0,0,0,0,1,0.4444444444444444,,4,5,3,6,4,5,3,3,6,4.333333333333333,,0,0,0,0,0,0,0,0,0,0.0,,25,25,25,0,25,25,25,5,25,20.0,,0,0,0,0,0,0,7,1,0,0.8888888888888888,,1,0,0,1,1,2,1,0,1,0.7777777777777778,,22,10,21,6,20,20,7,0,13,13.222222222222221,,1,1,1,1,1,1,1,0,1,0.8888888888888888,,
frc2603,74,84,112,116,100,96,156,90,106,103.77777777777777,,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,1,0,0,0,0.1111111111111111,,3,6,5,5,4,2,3,10,6,4.888888888888889,,0,0,0,0,0,0,0,0,0,0.0,,5,5,25,5,25,25,25,5,25,16.11111111111111,,0,0,0,0,0,0,7,0,0,0.7777777777777778,,0,0,0,0,1,0,1,0,1,0.3333333333333333,,1,10,12,8,18,6,7,11,17,10.0,,0,1,1,1,1,1,1,1,1,0.8888888888888888,,
frc2783,134,126,86,94,90,98,140,87,248,122.55555555555556,,0,0,0,0,0,0,0,0,3,0.3333333333333333,,1,1,0,0,0,1,1,0,0,0.4444444444444444,,4,6,5,2,4,2,3,1,4,3.4444444444444446,,0,0,0,0,0,0,0,0,0,0.0,,25,5,5,25,25,25,25,25,25,20.555555555555557,,0,0,2,2,0,0,2,5,0,1.2222222222222223,,1,2,1,4,0,1,4,1,1,1.6666666666666667,,22,15,18,6,2,8,14,10,14,12.11111111111111,,1,1,1,1,1,1,1,1,1,1.0,,
frc279,62,33,53,118,64,96,132,94,139,87.88888888888889,,0,0,2,1,0,0,0,0,0,0.3333333333333333,,0,0,0,1,0,1,1,2,0,0.5555555555555556,,0,0,2,2,1,2,5,0,5,1.8888888888888888,,0,0,0,0,0,0,0,0,0,0.0,,25,0,5,25,25,5,25,25,25,17.77777777777778,,7,4,3,5,0,0,2,3,3,3.0,,0,0,0,0,0,0,2,1,2,0.5555555555555556,,5,2,4,2,0,6,15,3,15,5.777777777777778,,1,1,1,1,1,1,1,1,1,1.0,,
frc3138,110,76,91,61,51,85,92,107,106,86.55555555555556,,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,1,3,0,2,3,2,4,2,6,2.5555555555555554,,0,0,0,0,0,0,0,0,0,0.0,,0,5,25,5,0,5,5,25,5,8.333333333333334,,0,14,0,0,0,0,0,8,0,2.4444444444444446,,3,0,4,1,0,1,1,0,1,1.2222222222222223,,21,5,12,10,7,7,24,13,17,12.88888888888889,,0,1,1,1,1,1,1,1,1,0.8888888888888888,,
frc3173,50,66,91,57,28,138,92,165,55,82.44444444444444,,0,2,0,0,0,0,0,0,0,0.2222222222222222,,0,0,0,2,0,0,0,0,0,0.2222222222222222,,0,0,0,2,1,5,2,2,3,1.6666666666666667,,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,5,5,5,1.6666666666666667,,0,19,0,0,2,0,0,1,0,2.4444444444444446,,2,0,4,0,0,4,0,5,1,1.7777777777777777,,7,0,12,7,1,11,2,18,5,7.0,,0,0,0,0,1,1,1,0,1,0.4444444444444444,,
frc3193,121,74,75,57,75,98,187,94,109,98.88888888888889,,0,0,0,0,2,0,0,0,0,0.2222222222222222,,0,3,3,2,0,1,4,2,2,1.8888888888888888,,3,3,1,2,3,2,6,0,7,3.0,,0,0,0,0,0,0,0,0,0,0.0,,5,5,0,5,5,5,0,25,0,5.555555555555555,,0,0,0,0,4,0,0,3,0,0.7777777777777778,,2,1,3,0,0,1,2,1,2,1.3333333333333333,,15,8,6,7,1,8,19,3,4,7.888888888888889,,1,1,1,1,1,1,1,1,1,1.0,,
frc3201,50,102,149,65,51,52,103,114,131,90.77777777777777,,0,0,3,0,0,0,0,0,0,0.3333333333333333,,0,0,0,0,0,0,1,2,0,0.3333333333333333,,0,5,5,1,3,2,4,2,4,2.888888888888889,,0,0,0,0,0,0,0,0,0,0.0,,5,25,25,5,5,5,0,5,25,11.11111111111111,,0,0,4,0,0,13,0,0,1,2.0,,2,1,3,0,0,2,2,1,1,1.3333333333333333,,7,13,15,9,7,5,5,8,8,8.555555555555555,,0,1,1,1,1,1,1,1,1,0.8888888888888888,,
frc325,143,30,33,94,55,43,100,148,124,85.55555555555556,,2,0,0,0,0,0,0,0,0,0.2222222222222222,,0,0,0,1,0,1,2,3,0,0.7777777777777778,,4,2,0,2,0,0,3,4,5,2.2222222222222223,,0,0,0,0,0,0,0,0,0,0.0,,5,5,0,5,5,5,0,0,5,3.3333333333333335,,5,2,0,0,2,0,0,0,0,1.0,,6,1,0,0,2,2,4,8,3,2.888888888888889,,10,1,5,5,6,3,12,15,25,9.11111111111111,,0,0,1,1,1,1,1,1,1,0.7777777777777778,,
frc3266,96,142,91,135,100,69,98,155,139,113.88888888888889,,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,1,0,0.1111111111111111,,4,3,3,4,4,0,2,7,5,3.5555555555555554,,0,0,0,0,0,0,0,0,0,0.0,,25,25,0,25,5,5,25,5,0,12.777777777777779,,0,0,10,0,0,0,0,0,3,1.4444444444444444,,0,0,0,3,1,0,1,7,2,1.5555555555555556,,16,5,2,6,18,22,6,20,15,12.222222222222221,,1,1,1,1,1,1,1,1,1,1.0,,
frc329,99,76,86,104,125,121,154,88,55,100.88888888888889,,0,0,0,0,0,0,0,0,0,0.0,,1,0,0,0,5,0,1,3,0,1.1111111111111112,,3,3,5,6,1,6,8,0,3,3.888888888888889,,0,0,0,0,0,0,0,0,0,0.0,,5,0,5,25,5,0,25,5,5,8.333333333333334,,0,14,2,0,0,5,5,3,0,3.2222222222222223,,0,0,1,1,3,0,6,1,1,1.4444444444444444,,18,5,18,6,17,3,11,2,5,9.444444444444445,,1,1,1,1,1,1,1,1,1,1.0,,
frc3324,99,142,132,94,75,37,127,107,81,99.33333333333333,,0,0,0,0,2,0,0,0,0,0.2222222222222222,,1,0,0,1,0,0,1,0,1,0.4444444444444444,,3,3,8,2,3,2,7,2,8,4.222222222222222,,0,0,0,0,0,0,0,0,0,0.0,,25,25,25,25,5,5,25,25,0,17.77777777777778,,0,0,0,0,4,0,0,8,4,1.7777777777777777,,0,0,1,0,0,0,4,0,0,0.5555555555555556,,18,5,16,5,1,2,18,13,7,9.444444444444445,,1,1,1,1,1,1,1,1,1,1.0,,
frc340,96,121,128,131,125,129,127,150,124,125.66666666666667,,0,0,0,3,0,0,0,0,0,0.3333333333333333,,0,0,0,1,5,1,1,0,0,0.8888888888888888,,4,0,3,6,1,1,7,8,5,3.888888888888889,,0,0,0,0,0,0,0,0,0,0.0,,0,0,25,0,5,25,0,25,5,9.444444444444445,,0,0,0,5,0,0,0,0,0,0.5555555555555556,,0,2,8,6,3,3,4,5,3,3.7777777777777777,,16,35,12,12,17,15,18,10,25,17.77777777777778,,1,1,1,1,1,1,1,1,1,1.0,,
frc3504,108,30,69,89,97,175,132,106,110,101.77777777777777,,0,0,0,0,0,1,0,0,0,0.1111111111111111,,0,0,1,0,0,0,1,2,2,0.6666666666666666,,8,2,5,3,7,5,5,4,8,5.222222222222222,,0,0,0,0,0,0,0,0,0,0.0,,5,0,5,0,5,5,5,0,5,3.3333333333333335,,2,2,0,7,0,6,2,3,0,2.4444444444444446,,1,1,1,0,0,1,2,2,0,0.8888888888888888,,8,1,10,9,13,6,15,12,9,9.222222222222221,,1,1,1,1,1,1,1,1,1,1.0,,
frc3777,50,86,112,97,63,37,85,94,248,96.88888888888889,,0,2,0,0,0,0,3,0,3,0.8888888888888888,,0,0,0,0,0,0,0,2,0,0.2222222222222222,,0,3,5,5,0,2,0,0,4,2.111111111111111,,0,0,0,0,0,0,0,0,0,0.0,,5,25,0,0,5,5,25,25,25,12.777777777777779,,0,0,0,0,0,0,9,3,0,1.3333333333333333,,2,0,0,2,0,0,0,1,1,0.6666666666666666,,7,0,12,10,5,2,0,3,14,5.888888888888889,,1,1,1,1,1,1,1,1,1,1.0,,
frc379,69,102,132,86,159,69,92,57,110,97.33333333333333,,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,1,0,0,0,2,0.3333333333333333,,1,5,8,3,8,0,4,2,8,4.333333333333333,,0,0,0,0,0,0,0,0,0,0.0,,0,25,25,0,0,5,0,5,5,7.222222222222222,,1,0,0,0,2,0,0,0,0,0.3333333333333333,,1,1,1,1,3,0,1,0,0,0.8888888888888888,,18,13,16,20,12,22,24,3,9,15.222222222222221,,1,1,1,1,1,1,1,1,1,1.0,,
